user_id,name,vat,counterId,address,post_code,phone,date_of_birth,balance
7f31ab45-8e27-4a62-bd1e-9641d75bde22,ΔΗΜΗΤΡΙΟΣ ΔΗΜΗΤΡΙΟΥ,123456789,9192939495,ΑΛΕΞΑΝΔΡΟΥ 1,12345,6988888888,1997-1-1,10000
a912fe63-2e4b-4d09-baef-c0e9e83d7254,ΜΑΡΙΑ ΠΑΠΑΔΟΠΟΥΛΟΥ,987654321,9493949596,ΚΥΡΙΑΚΟΥ 10,54321,6912345678,1985-12-5,10000
f5a8d739-1eab-4397-9a35-86f0d3e29a46,ΓΙΩΡΓΟΣ ΝΙΚΟΛΑΟΥ,567890123,9596979899,ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ 5,23435,6945678901,1990-6-17,10000
4dc55181-1dbf-4efc-9c0d-5cf63e57e3c2,ΕΛΕΝΗ ΑΘΑΝΑΣΙΟΥ,345678901,9998989798,ΠΑΡΘΕΝΩΝΟΣ 20,23345,6978901234,1982-9-22,10000
b27d7c03-0ef8-4751-9e6b-92f2c812913d,ΑΝΔΡΕΑΣ ΜΙΧΑΗΛΙΔΗΣ,901234567,9898999091,ΑΓΙΟΥ ΑΝΤΩΝΙΟΥ 15,22333,6990123456,19993-3-9,10000
e9b5b8c6-77f6-4859-9ef5-872c1329e8f7,ΣΟΦΙΑ ΠΑΠΑΣΤΑΥΡΟΥ,234567890,9091929394,ΚΟΛΟΚΟΤΡΩΝΗ 8,12123,6923456789,1988-7-12,10000




